34.565,24.854,39.981,110.38,113.99,104.56,73.894,73.612,105.35,143.52,94.167,99.889,167.85,208.19,78.947,19.976
32.157,21.272,36.589,108.97,119.92,116.25,73.11,73.073,153.51,125.66,75.912,75.761,127.69,153.01,64.455,12.952
103.83,108.56,97.145,39.223,32.271,48.658,69.985,73.52,152.92,134.09,82.479,80.721,131.86,151.54,66.315,22.116
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.702,72.635,79.623,89.132,79.83,50.63,78.968,65.288,167.36,141.2,90.549,95.293,160.69,176.41,77.556,31.212
103.18,115.38,99.296,39.159,25.352,35.728,69.496,69.157,101.37,95.424,58.484,60.06,100.44,107.89,48.122,10.464
45.522,70.102,83.062,90.466,69.255,43.953,84.338,74.011,117.3,114.99,75.438,77.495,124.97,124.61,65.572,22.719
92.232,56.076,43.158,68.594,79.936,102.34,60.35,72.705,142.8,136.07,81.411,76.385,121.87,131.72,66.953,19.146
69.779,91.666,90.923,67.48,58.616,47.135,76.833,68.183,218.73,184.27,116.38,119.61,199.75,228.95,95.54,41.471
46.513,60.747,52.701,49.879,51.002,45.241,45.078,29.833,147.04,116.79,66.197,69.915,124.14,155.44,60.184,26.316
78.554,88.295,89.174,93.727,82.856,83.463,95.446,92.857,167.39,161.13,133.55,125.44,147.82,168.18,120.82,78.039
44.744,31.299,44.837,91.488,108.31,107.38,68.298,69.894,51.246,68.441,67.701,68.14,73.877,53.585,61.975,18.191
60.981,63.355,54.408,71.728,68.074,71.685,63.374,62.597,90.549,126.93,145.21,143.64,130.87,93.432,134.96,80.12
45.498,29.901,44.3,113.54,116.37,104.45,80.352,84.016,195.29,165.08,97.23,101.88,169,202.74,82.573,23.941
48.797,52.986,57.701,90.927,80.943,85.6,74.659,73.552,252.89,167.65,131.17,119.99,104.56,253.83,107.48,59.217
74.455,70.384,59,72.7,75.941,79.627,67.625,68.307,79.87,117.66,98.896,94.922,112.15,77.504,86.018,42.612
64.28,71.511,67.702,76.969,72.648,78.078,71.589,68.294,73.199,103.96,105.59,110.94,150.92,230.56,95.26,47.486
43.74,26.13,34.038,98.391,109.88,112.51,70.164,72.788,229.81,184.99,109.36,95.318,147.22,136.85,86.445,28.056
33.375,24.796,46.55,108.06,114.88,102.36,77.046,78.22,78.825,93.83,65.67,75.454,124.65,153.38,61.597,13.656
97.249,59.357,44.919,56.815,64.528,94.648,59.807,77.396,206.53,191.24,114.41,104.64,163.22,188.23,89.617,35.993
45.189,58.851,57.854,66.139,60.465,51.181,58.849,51.819,80.476,88.723,51.481,51.232,89.53,81.736,43.486,13.63
39.837,34.005,42.899,103.98,109.38,93.063,71.374,68.641,132.84,189.1,129.78,137.26,216.46,257.33,110.2,50.779
48.133,42.582,48.414,100.54,96.885,81.82,71.928,68.642,232.76,220.25,144.48,143.97,211.7,121.86,119.17,58.291
99.466,89.002,82.075,75.372,80.025,99.566,84.119,93.993,110.3,99.256,51.173,51.749,96.621,107.19,43.761,17.297
54.72,57.332,55.639,83.398,80.173,83.393,67.007,68.905,224.4,159.71,116.81,110.55,111.57,67.737,98.169,48.239
29.369,24.624,30.786,86.033,90.224,68.452,54.661,46.783,185.5,152.96,94.043,91.882,157.19,188.27,78.223,24.48
45.596,36.389,40.603,103.26,105.69,94.628,70.938,69.789,260.7,215.23,145.43,146.53,221.06,261.56,123.31,62.833
38.32,28.129,35.855,105.18,111.73,96.455,69.745,67.552,235.8,188.11,117.51,117.88,193.59,236.13,98.653,40.881
65.14,40.579,40.03,90.114,92.393,87.662,68.592,70.606,124.28,184.39,120.76,117.5,168.25,122.14,96.953,42.306
89.554,67.874,74.08,105.65,103.98,109.76,95.788,112.43,154.39,126.62,70.026,68.214,117.35,147.74,63.098,22.257
26.578,19.985,26.293,87.752,95.936,74.51,54.335,47.367,133.85,119.41,70.967,66.617,115.51,128.49,59.53,11.551
34.786,22.884,39.401,106.88,121.15,115.26,73.257,72.486,117.85,104.85,62.061,60.426,98.983,101.94,52.063,8.3601
